context,excluded_items,ordering_context_likelihood,set_context_likelihood,uniform_set_likelihoods,uniform_ordering_likelihoods
bag,"{'headphones', 'crayons'}",-137.96571862900265,-387.7973104268402,-407.133269467232,-990.1115899874401
bakery,"{'ice cream', 'pretzels', 'muffins'}",-27.423170622211607,-207.9490143334536,-443.11020971978826,-368.4136148790473
beach,,-994.4560784501188,-653.4163310129322,-1002.415877900344,-2463.7660495036275
cold,{'heater'},-210.39934516724176,-341.4468909274137,-742.4433906003471,-967.0857390574996
cut,"{'nail clippers', 'thumb tacks', 'stapler'}",-30.10126031270296,-197.6598071577024,-217.5543737473936,-322.36191301916637
fridge,"{'ketchup', 'yogurt'}",-250.5909535885585,-586.7581725541453,-589.1550401648348,-1819.0422234652933
gym,,-224.1832542358409,-1031.7190384636087,-2527.881612417982,-3822.2912543701223
hot,{'heater'},-229.7297164552376,-274.1290961609236,-379.3511061245617,-851.9564844077972
mall,"{'pretzel stand', 'gift shop', 'electronics store', 'coffee shop', 'burger joint', 'grocery store'}",0.0,0.0,0.0,0.0
mask,"{'napkins', 'bandana'}",-302.5575629119182,-622.262995379453,-1059.1891427772614,-690.7755278982139
meat,{'tofu'},-523.1953539995856,-604.7691813242217,-1987.1309352538592,-2026.2748818347566
restaurant,{'cocktails'},-142.3136594969864,-580.2288842967012,-929.8868733483804,-1772.9905216054126
salad,{'lettuce'},-158.14748850444636,-431.3638512718512,-471.22165443397887,-1151.2925464970228
science,,-244.5345821109273,-882.3346033451434,-851.7306523065514,-3592.0327450707164
throw,"{'beach ball', 'lawnmower', 'boomerang'}",-34.26506986552854,-196.195589587722,-782.8789316179758,-276.3102111592854
transport,"{'roller blades', 'lawnmower'}",-144.99219499191528,-286.0927653778458,-971.6580114442784,-828.9306334778568
