context,mean_rho,sd_rho,var_rho,valid_splits
bakery,0.11924201380737404,0.057474043740534365,0.0033032657038888575,100
closet,-0.04609404276529966,0.0484741985131121,0.002349747921488599,100
corner,0.01575425778525728,0.04350319533165407,0.0018925280040640485,100
fitness,0.37510496832350865,0.06478542548072089,0.0041971513547180385,100
fridge,0.45464214965286565,0.04380081456827864,0.0019185113568447303,100
garage,0.12225609483640412,0.04872986099842036,0.0023745993529253697,100
handbag,0.3302524596427246,0.05503243335415743,0.003028568720879779,100
library,-0.3417791215260315,0.03398021942239344,0.001154655311994004,100
mall,-0.20838474150416592,0.03906056830571067,0.001525727996365089,100
play,-0.16880269837688186,0.04755116765006737,0.002261113544884814,100
restaurant,0.28324171030439643,0.05785450628908168,0.003347143897953392,100
