context,ordering_context_likelihood,set_context_likelihood,uniform_ordering_likelihoods,uniform_set_likelihoods
bag,-1077.391659931209,-1100.289496227531,-2440.740198573687,-1238.8244958498897
bakery,-1159.4142409563017,-2280.219859119963,-2878.231366242558,-2624.9152475908213
beach,-911.770650123042,-651.1949407040502,-2463.7660495036275,-1559.3130210818051
cold,-717.5356549083316,-463.35763893251976,-1796.016372535353,-1522.345817157928
cut,-1592.6087316929406,-1264.395334190775,-1819.042223465293,-1641.782190817761
fridge,-1504.012757861977,-1067.5412768299166,-2855.205515312617,-2562.524484847987
gym,-224.6051358526213,-1031.7190384636087,-3822.291254370122,-2544.678841230807
hot,-987.5549472644076,-313.5981600512763,-1197.3442483569036,-531.2369428180148
mall,-3177.567428331786,-3177.567428331786,-3177.567428331786,-3177.567428331786
mask,-1210.1148319558,-1068.9450984044531,-1842.0680743952337,-1354.6761664601413
meat,-671.288918661203,-1064.9960908392577,-2786.127962522796,-1078.3674168496807
restaurant,-565.5230842726851,-1017.72005196557,-2624.947006013212,-1929.723224063542
salad,-666.1756779014419,-960.9584226604836,-2164.4299874144,-2164.4299874144
science,-234.05766279272103,-891.9066984829091,-3592.0327450707164,-1902.1405352474974
throw,-1334.1956845547968,-1692.8759000338491,-2279.559242064103,-2128.322120665899
transport,-1663.553846140683,-1175.9654515960156,-2279.559242064103,-1258.2488754705569
